title,author,genre,length_category
The Odyssey of Homer,Homer,Fiction,average
Collected Novellas,Gabriel Garcia Marquez,Fiction,average
Collected Stories,Gabriel Garcia Marquez,Fiction,average
A Mulligan for Bobby Jobe,Robert Cullen,Fiction,average
In the Footsteps of Mr. Kurtz,Michela Wrong,History,average
Every Tongue Got to Confess,Zora Neale Hurston,Literary Criticism,average
Kitchen Confidential,Anthony Bourdain,Biography & Autobiography,average
One Matchless Time,Jay Parini,Biography & Autobiography,long
The Girl in the Glass,Jeffrey Ford,Fiction,average
The Best American Science Writing 2002,Matt Ridley;Alan Lightman,Science,average
Wittgenstein's Poker,David Edmonds;John Eidinow,Philosophy,average
Smart Discipline(R),Larry Koenig,Family & Relationships,average
The Schopenhauer Cure,Irvin Yalom,Fiction,average
African Nights,Kuki Gallmann,Biography & Autobiography,average
The Autobiography of Mark Twain,Charles Neider,Biography & Autobiography,long
Joy in the Morning,Betty Smith,Fiction,average
Beauty,John O'Donohue,"Body, Mind & Spirit",average
The Darling,Russell Banks,Fiction,average
The Making of a Philosopher,Colin McGinn,Philosophy,average
The Language Instinct,Steven Pinker,Language Arts & Disciplines,long
Prodigal Summer,Barbara Kingsolver,Fiction,long
Tales of the City,Armistead Maupin,Fiction,average
Fear of Falling,Barbara Ehrenreich,Social Science,average
The Hidden Hand,Carroll John Daly,Fiction,average
Europe,Norman Davies,History,long
Savage Inequalities,Jonathan Kozol,Education,average
Gold Bug Variations,Richard Powers,Fiction,long
Three Farmers on Their Way to a Dance,Richard Powers,Fiction,average
The Fourteen Sisters of Emilio Montez O'Brien,Oscar Hijuelos,Fiction,long
Fiskadoro,Denis Johnson,Fiction,average
The Stars at Noon,Denis Johnson,Fiction,short
Operation Wandering Soul,Richard Powers,Fiction,average
Reasons to Live,Amy Hempel,Fiction,short
Prisoner's Dilemma,Richard Powers,Fiction,average
The God of Small Things,Arundhati Roy,Fiction,average
Courtesans and Fishcakes,James Davidson,History,long
Girlfriend in a Coma,Douglas Coupland,Fiction,average
The Long Hard Road Out of Hell,Marilyn Manson;Neil Strauss,Biography & Autobiography,average
Confessions of an Ugly Stepsister,Gregory Maguire,Fiction,average
The Dirt,Tommy Lee;Vince Neil;Nikki Sixx;Mick Mars,Biography & Autobiography,long
Life Is Elsewhere,Milan Kundera;Aaron Asher,Fiction,long
Cat Laughing Last,Shirley Rousseau Murphy,Fiction,average
The Crow: The Lazarus Heart,Poppy Z. Brite,Fiction,average
Well of Darkness,Margaret Weis;Tracy Hickman,Fiction,long
The Light Fantastic,Terry Pratchett,Fiction,average
U.S.S. Seawolf,Patrick Robinson,Fiction,long
Realms of Dragons,Margaret Weis;Denise Little;Tracy Hickman,Fiction,average
The Player of Games,Iain Banks,Fiction,average
